First Name,Last Name,ORCID,Statement of contribution,Statement of contribution (putative CRediT model),credit_cleanup
Valeria,Aguillon Rodriguez,,"V.A.R. built and launched IBL project at CSHL with the help of Miles, Lauren, and Josh. Shortly thereafter, contributed to the collection of behavioral data on the preliminary IBL task protocol and worked on the preliminary development of protocols for behavioral training and surgery, while doing rig maintanenace, surgeries, husbandry, and animal training at CSHL. Subsequently contributed to the collection of behavioral data on the standardized protocols and pilot shaping protocols of the IBL task. Contributed to the design of pilot experiments, shaping protocol, and led the design of the Citric Acid as a means of Water Restriction experiment at CSHL alongside Anne. Contributed to the collection and analysis of data and metadata such as general performance data, the effect of citric acid water over weekends on task performance and trial counts, and mouse general metadata such as mouse weight, etc. ","V.A.R.: [Methodology] built pilot rigs, developed protocols for behavioral training and surgery (equal). [Investigation] collected behavioral data, performed surgery and husbandry (equal).","V.A.R.: [Methodology] built pilot rigs, developed protocols for behavioral training and surgery (equal). [Investigation] collected behavioral data, performed surgery and husbandry (equal)."
Dora,Angelaki,,D.E.A. hosted the research,D.E.A.: [Funding Acquisition]  acquired funding (supporting). [Resources] Hosted the research (equal). [Supervision] supervised local laboratory research (equal).,D.E.A.: [Funding Acquisition]  acquired funding (supporting). [Resources] Hosted the research (equal). [Supervision] supervised local laboratory research (equal).
Hannah,Bayer,https://orcid.org/0000-0002-5644-4124,H.M.B. contributed to writing and editing the manuscript. Also provided supervision and project administration,H.M.B. [Project administration] Administered the collaboration (lead). [Writing – review & editing] Edited the final version (lead).,H.M.B. [Project administration] Administered the collaboration (lead). [Writing – review and editing] Edited the final version (lead).
Niccolò,Bonacchi,,"Main contributions:
 Design, assembly, maintenance, testing, and documentation for the rig hardware. 
 Design, programming, maintaining, distributing, debugging, managing, and documentation for the python rig software.
 Pilot task, root task and automated training implementation, design, development, and management.
 (leaving out all contributions related to data, pipeline, database, IT, infrastructure, code management, et al.)
 Other contributions:
 Standardization of animal protocols and licenses, documentation writing, and curation
 Leading, attending and note taking in weekly meetings
 Paper editing and writing","J.P.N: [Methodology] Standardized licenses and protocols (equal), developed training automation (equal). [Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal), supervised behavioral data collection (equal),  [Project administration] attended Behavioral Working Group meetings (equal). [Formal Analysis] did some preliminary analyses, leading to Figures 3g-j (supporting). [Writing - original draft] wrote abstract, introduction, results, discussion and methods for version 2 (lead). [Writing - review and editing] edited sections of version 3 (equal).","NB: [Data curation] Curated data, metadata, and pipeline (equal). [Formal analysis] Developed data analysis infrastructure (equal). [Funding acquisition] Provided text and figures for proposals (supporting). [Methodology] Developed data acquisition protocols (lead) and developed and standardized animal training protocols (supporting). [Project administration] Meeting coordination (supporting), attended behavior working group meetings (equal). [Software] Wrote data acquisition software (lead), pipeline, core, quality control (equal), database and analysis libraries (supporting). [Writing – original draft] (supporting). [Writing – review and editing] (supporting)."
Matteo,Carandini,https://orcid.org/0000-0003-4880-7682,"M.C. led the Behavior Working group, helped define the training pipeline, hosted the research in his lab, and organized the writing of the paper.  ","M.C.: [Funding Acquisition]  acquired funding (equal). [Resources] Hosted the research (equal). [Supervision] headed the Behavior Working Group (lead), supervised local laboratory research (equal).  [Writing – review & editing] Edited the paper (equal). [Writing - original draft] Helped write the first draft (equal).  [Project administration] Helped run the collaboration (supporting)","M.C.: [Funding Acquisition]  acquired funding (equal). [Resources] Hosted the research (equal). [Supervision] headed the Behavior Working Group (lead), supervised local laboratory research (equal).  [Writing – review and editing] Edited the paper (equal). [Writing - original draft] Helped write the first draft (equal).  [Project administration] Helped run the collaboration (supporting)"
Fanny,Cazettes,https://orcid.org/0000-0002-9648-4761,"F.C. participated in the rig and task design of both the pilot and of the root tasks; contributed to the standardization effort (collected the first institution licenses, drafted and edited surgery protocols, made initial contributions to the training protocols); supervized technicians; organized the agendas of the first weekly meetings; participated in rig building/behavior working group meetings; wrote sections of the first draft of the manuscript.","FC:  [Methodology] piloted candidate tasks (lead); developed the final behavioral task (supporting); standardized training and surgery protocols (supporting);  [Investigation] built initial rigs (supporting); supervised surgical procedures and behavioral training (equal); [Project Administration] organized the first IBL lab meetings (lead), participated in rig-building and behavioral working group meetings (equal); [Writing - original draft] wrote parts of the introduction in version 1 (supporting).  ","FC:  [Methodology] piloted candidate tasks (lead); developed the final behavioral task (supporting); standardized training and surgery protocols (supporting);  [Investigation] built initial rigs (supporting); supervised surgical procedures and behavioral training (equal); [Project Administration] organized the first IBL lab meetings (lead), participated in rig-building and behavioral working group meetings (equal); [Writing - original draft] wrote parts of the introduction in version 1 (supporting).  "
Gaelle,Chapuis,0000-0002-6849-5316,"G.A.C. managed and participated in the development, distribution and usage of the training apparatus. Managed and participated in the development of the standard training and surgical protocols. Ensured protocols were rigorously followed at each institution; led the standardization effort. Acted as the associate leader of the Behavior Working Group. Generated and controlled the Appendix materials. Reviewed main body text. Made figures for the paper (fig 1A, 1C). Analysed data as a second observer (fig 1C).","G.A.C. : [Project administration] Managed the development, distribution and usage of the training rigs (lead); served as the associate leader of the Behavior Working Group (lead); attended behavioral working group meetings (equal); administered the collaboration (lead). [Supervision] Enforced and applied standardized protocols across all institutions (lead). [Methodology] Developed standardized training and surgical protocols (lead). Generated and controlled the Appendix materials (lead). [Formal analysis] Conducted preliminary analysis (supporting). [Visualisation] Generated preliminary figures (supporting). [Validation] Analysed data as a second observer (supporting).  [Writing – review & editing] Reviewed main body text (supporting). [Funding Aquisition] Generated progress reports (equal).","G.A.C. : [Project administration] Managed the development, distribution and usage of the training rigs (lead); served as the associate leader of the Behavior Working Group (lead); attended behavioral working group meetings (equal); administered the collaboration (lead). [Supervision] Enforced and applied standardized protocols across all institutions (lead). [Methodology] Developed standardized training and surgical protocols (lead). Generated and controlled the Appendix materials (lead). [Formal analysis] Conducted preliminary analysis (supporting). [Visualization] Generated preliminary figures (supporting). [Validation] Analysed data as a second observer (supporting).  [Writing – review and editing] Reviewed main body text (supporting). [Funding Acquisition] Generated progress reports (equal)."
Anne,Churchand,,A.K.C. hosted the research and acquired funding,A.K.C.: [Funding Acquisition] acquired funding (lead). [Resources] Hosted the research (equal). [Supervision] supervised local laboratory research (equal). [Project administration] Helped run the collaboration (equal),A.K.C.: [Funding Acquisition] acquired funding (lead). [Resources] Hosted the research (equal). [Supervision] supervised local laboratory research (equal). [Project administration] Helped run the collaboration (equal)
Yang,Dan,https://orcid.org/0000-0002-3818-877X,Y.D. hosted the research,Y.D.: [Funding Acquisition]  acquired funding (supporting). [Resources] Hosted the research (equal). [Supervision] supervised local laboratory research (equal).,Y.D.: [Funding Acquisition]  acquired funding (supporting). [Resources] Hosted the research (equal). [Supervision] supervised local laboratory research (equal).
Eric,DeWitt,https://orcid.org/0000-0001-9182-8257,"Contributions include: developing original task for automation inluding alternatives piloted at the CCU; developing and designing final task; acting chair of the behavior working group during chair transition; supervising technicians; contributions to automation, standardization, and training guidelines; debugging code; participation in Behavior Working Group; Comments and editing on text and figures.","E.E.J.D. [Methodology] developed original task (supporting), piloted alternatives (lead); developed and designed final task (equal), wrote automation, standardization and training guidelines (supporting). [Investigation] supervised surgery and behavioral data collection (equal). [Project Administration] attended Behavior Working Group meetings (equal); temporary acting chair Behavior Working Group (lead).  [Writing – review & editing] Comments and editing on text and figures (supporting)","E.E.J.D. [Methodology] developed original task (supporting), piloted alternatives (lead); developed and designed final task (equal), wrote automation, standardization and training guidelines (supporting). [Investigation] supervised surgery and behavioral data collection (equal). [Project Administration] attended Behavior Working Group meetings (equal); temporary acting chair Behavior Working Group (lead).  [Writing – review and editing] Comments and editing on text and figures (supporting)"
Mayo,Faulkner,https://orcid.org/0000-0001-5427-0282,"M.F built and maintained training rigs, performed surgeries, collected data in Lab 6, contributed and consolidated the components list (Appx. 1 and 3), drew technical drawings (Appx. 3) and participated in weekly behavioural working group meetings.","M.F. [Investigation] built and maintained behavioral rigs, collected behaviroal data, and performed surgeries  (equal). [Project Administration] attended weekly behavioural group meetings (equal). [Methodology] contributed to components list (supporting) and technical drawings (lead) in appendices.","M.F. [Investigation] built and maintained behavioral rigs, collected behaviroal data, and performed surgeries  (equal). [Project Administration] attended weekly behavioural group meetings (equal). [Methodology] contributed to components list (supporting) and technical drawings (lead) in appendices."
Hamish,Forrest,,H.F. trained mice in Lab1 (March 2019-June 2019),H.F. [Investigation] collected behavioral data (supporting),H.F. [Investigation] collected behavioral data (supporting)
Laura M,Haetzel,https://orcid.org/0000-0001-5178-9177,"L.M.H. contributed to the collection of behavioral data at Princeton University on the finalized IBL task protocol including: managing the experimental schedule, headplate implantation surgeries, training mice on the task protocol, rig maintenance and presenting performance data at the behavior working group meetings. ",L.M.H.: [Investigation] performed surgical procedures and collected behavioral data (equal); [Project Administration] attended Behavior Working Group meetings (supporting).,L.M.H.: [Investigation] performed surgical procedures and collected behavioral data (equal); [Project Administration] attended Behavior Working Group meetings (supporting).
Michael,Hausser,,M.H. acquired funding,M.H.: [Funding Acquisition] acquired funding (lead). [Resources] Hosted the research (equal). [Supervision] supervised local laboratory research (equal). [Project administration] Helped run the collaboration (lead),M.H.: [Funding Acquisition] acquired funding (lead). [Resources] Hosted the research (equal). [Supervision] supervised local laboratory research (equal). [Project administration] Helped run the collaboration (lead)
Sonja,Hofer,,S.B.H. hosted the research,S.B.H: [Funding Acquisition]  acquired funding (supporting). [Resources] Hosted the research (equal). [Supervision] supervised local laboratory research (equal).,S.B.H: [Funding Acquisition]  acquired funding (supporting). [Resources] Hosted the research (equal). [Supervision] supervised local laboratory research (equal).
Fei,Hu,https://orcid.org/0000-0001-7827-9548,"F.H. built, maintained the training rigs, performed surgeries, behavioral trainings, and collected data in Lab7; F.H. contributed to collaboration-wide standarization of licenses and protocols (suppl. table 1); F.H. attended weekly meetings to contribute to optimizing the final task, and presenting/discussing behavioral results.","F.H.: [Methodology] reviewed standardized licenses and protocols (equal). [Investigation] built and maintained behavioral rigs, did surgeries and collected behavioral data (equal), supervised behavioral data collection and surgeries (equal). [Project administration] Attended Behavior Working Group meetings (equal). [Funding acquisition] edited grant application and reports (supporting).","F.H.: [Methodology] reviewed standardized licenses and protocols (equal). [Investigation] built and maintained behavioral rigs, did surgeries and collected behavioral data (equal), supervised behavioral data collection and surgeries (equal). [Project administration] Attended Behavior Working Group meetings (equal). [Funding acquisition] edited grant application and reports (supporting)."
Anup,Khanal,0000-0002-8929-7984,"A.K. trained mice and collected behavioral data; ordered, built, and maintained IBL inventory at CSHL.",A.K.: [Investigation] Collected behavioral data and performed surgeries (equal); [Project administration] Attended Behavior Working Group meetings (supporting). ,A.K.: [Investigation] Collected behavioral data and performed surgeries (equal); [Project administration] Attended Behavior Working Group meetings (supporting). 
Christopher S,Krasniak,https://orcid.org/0000-0001-8852-6805,"C.S.K. built and maintained training rigs, performed headbar implant surgeries, trained mice, edited and curated the hardware and software user guides, attended weekly meetings to contribute to pilot behavior tasks, optimizing the final task, and presenting/discussing behavioral results , and contributed to writing and editing the paper, the supplemental tables, and the appendices.","CSK: [Methodology] piloted behavior tasks (lead) and standardized the training protocol for the final behavior task (equal) and surgery protocols (supporting);  wrote sections of build and software guides (supporting), and maintained and edited build and software guides (equal); [Investigation] performed surgeries, trained and cared for mice, and built training rigs (equal); [Project administration] attended Behavior Working Group meetings (equal); [Writing - original draft] wrote sections of the introduction, methods, and supplemental tables (equal); [Writing - review and editing] contributed to all sections of the final paper and the appendices (supporting). ","CSK: [Methodology] piloted behavior tasks (lead) and standardized the training protocol for the final behavior task (equal) and surgery protocols (supporting);  wrote sections of build and software guides (supporting), and maintained and edited build and software guides (equal); [Investigation] performed surgeries, trained and cared for mice, and built training rigs (equal); [Project administration] attended Behavior Working Group meetings (equal); [Writing - original draft] wrote sections of the introduction, methods, and supplemental tables (equal); [Writing - review and editing] contributed to all sections of the final paper and the appendices (supporting). "
