,subject_uuid,subject_project,subject_nickname,sex,subject_birth_date,lab_name,date_trained
0,95241a9c-481b-443c-83a7-462165f729ec,ibl_neuropixel_brainwide_01,IBL-T3,F,2018-11-27,angelakilab,2019-02-27
1,3eee82bf-8ccf-42ac-9e26-472caed5f265,ibl_neuropixel_brainwide_01,NYU-02,M,2018-12-18,angelakilab,2019-04-05
2,217d49ae-ada9-48be-a77e-9704c9e57855,ibl_neuropixel_brainwide_01,NYU-01,M,2018-12-18,angelakilab,2019-04-23
3,cff66dc1-765e-4e04-abef-92de05bf4f19,ibl_neuropixel_brainwide_01,IBL-T1,M,2018-11-27,angelakilab,2019-02-21
4,df2d615d-f8e1-41e5-bcab-480c8e4ba09f,ibl_neuropixel_brainwide_01,NYU-06,F,2019-02-26,angelakilab,2019-06-12
5,34ff50d4-42cf-41f7-8c38-ab631ca84d74,ibl_neuropixel_brainwide_01,IBL-T4,F,2018-11-27,angelakilab,2019-03-15
6,ee1a2b83-ab8d-4b71-8d23-04f7b21b1595,ibl_neuropixel_brainwide_01,NYU-04,M,2018-12-18,angelakilab,2019-04-29
7,f01b97ab-0d2c-4825-b87f-b29f6daf3979,ibl_neuropixel_brainwide_01,NYU-07,F,2019-02-26,angelakilab,2019-08-30
8,f498ba9d-d983-43fd-b8c1-b22ec919018e,ibl_neuropixel_brainwide_01,IBL-T2,F,2018-11-27,angelakilab,2019-02-25
9,ac7dfc1e-0c3c-4a83-a52b-c16fd6ec0a94,ibl_neuropixel_brainwide_01,CSHL_005,M,2018-11-20,churchlandlab,2019-03-18
10,8f6fc7ce-4de0-4b8b-973b-72fd70145b9c,ibl_neuropixel_brainwide_01,CSHL_004,M,2018-11-20,churchlandlab,2019-04-29
11,787af8d0-46db-4f32-bb5f-353c17d11e6c,ibl_neuropixel_brainwide_01,CSHL_014,F,2019-02-19,churchlandlab,2019-07-04
12,5848e7f4-447d-42eb-9676-c914740df807,ibl_neuropixel_brainwide_01,CSHL_006,F,2018-11-27,churchlandlab,2019-06-07
13,4f091667-90b9-4469-88f4-542c1ec07891,ibl_neuropixel_brainwide_01,CSHL_008,F,2018-11-27,churchlandlab,2019-03-21
14,4c9577b3-bdd5-4a15-b15b-5bc24a4439d3,ibl_neuropixel_brainwide_01,CSHL_002,M,2018-11-20,churchlandlab,2019-04-01
15,ecba4914-30c3-4a0b-9d65-1ef5d80ca5f2,ibl_neuropixel_brainwide_01,CSHL_001,M,2018-11-20,churchlandlab,2019-04-25
16,6e1e46eb-a742-4385-926c-db14a8f9347f,ibl_neuropixel_brainwide_01,CSHL_003,M,2018-11-20,churchlandlab,2019-03-21
17,fb5e4b77-4057-4887-bf20-50f2459333eb,ibl_neuropixel_brainwide_01,CSHL_012,F,2019-02-19,churchlandlab,2019-07-30
18,10fd3170-6c52-4cb6-986f-aa73704277c0,ibl_neuropixel_brainwide_01,CSHL_015,F,2019-02-19,churchlandlab,2019-07-08
19,19cf7867-e2d2-4a12-93be-9371fe1a293c,ibl_neuropixel_brainwide_01,CSHL_010,F,2018-11-27,churchlandlab,2019-03-25
20,0936a724-2151-446f-98b2-92c3e9dd36dc,ibl_neuropixel_brainwide_01,CSHL_007,F,2018-11-27,churchlandlab,2019-03-19
21,2cbfb932-ed7e-47b1-893f-100f9329c21c,ibl_neuropixel_brainwide_01,KS003,M,2018-10-30,cortexlab,2019-04-26
22,79220479-3f1f-43d7-af79-c8001eaa5e3a,ibl_neuropixel_brainwide_01,KS017,F,2019-06-18,cortexlab,2019-09-12
23,18a54f60-534b-4ed5-8bda-b434079b8ab8,ibl_neuropixel_brainwide_01,KS014,M,2019-06-18,cortexlab,2019-08-22
24,9a46fcfa-81cf-4742-87c0-bb95f90d5913,ibl_neuropixel_brainwide_01,KS015,M,2019-06-18,cortexlab,2019-08-10
25,a4ec3fa0-5415-490a-bf2b-cbf07b017733,ibl_neuropixel_brainwide_01,KS001,M,2018-10-16,cortexlab,2019-03-01
26,bbcaba58-d8e8-40b9-8f2f-01697cfe754d,ibl_neuropixel_brainwide_01,KS005,F,2018-12-04,cortexlab,2019-05-14
27,55eb0c59-c39d-43f7-bdc3-35de0c25f7c6,ibl_neuropixel_brainwide_01,MW001,M,2018-07-17,cortexlab,2019-02-12
28,e9cac4f8-effa-462a-8e41-323c58ef86dd,ibl_neuropixel_brainwide_01,KS002,M,2018-10-30,cortexlab,2019-06-06
29,354e6122-de4a-4945-bafd-d46df65768f6,ibl_neuropixel_brainwide_01,KS016,M,2019-06-18,cortexlab,2019-08-30
30,05e97eea-64e2-4e52-a78a-5b78875b4fa3,ibl_neuropixel_brainwide_01,KS004,F,2018-12-04,cortexlab,2019-06-06
31,2f1b7046-9c58-4076-a7c5-7c386293dc89,ibl_neuropixel_brainwide_01,DY_006,M,2019-03-20,danlab,2019-06-06
32,6d3a3635-05cd-4f5b-97c5-2c129b812a33,ibl_neuropixel_brainwide_01,DY_003,M,2019-01-01,danlab,2019-04-26
33,f3acdbcd-7c95-4dc8-b13e-8310048000c5,ibl_neuropixel_brainwide_01,DY_002,M,2019-01-01,danlab,2019-05-02
34,9b471b07-5903-4baa-b56d-368d385c850c,ibl_neuropixel_brainwide_01,DY_005,M,2019-01-01,danlab,2019-06-11
35,475acc5f-64f7-4f28-9722-5f60ce553f91,ibl_neuropixel_brainwide_01,DY_007,M,2019-03-20,danlab,2019-06-04
36,bc381af7-631d-4ed0-95f9-8231c830158a,ibl_neuropixel_brainwide_01,DY_001,M,2018-09-28,danlab,2019-03-11
37,27d08c9d-6013-42d8-bab5-1e788f230b2e,ibl_neuropixel_brainwide_01,SWC_001,F,2019-01-19,hoferlab,2019-07-18
38,e1ceadd7-e3c2-4fd9-98bc-148f17dd60c6,ibl_neuropixel_brainwide_01,ZM_1367,M,2018-12-24,mainenlab,2019-05-09
39,9471b0ff-0027-4f06-94d8-0613e88f3878,ibl_neuropixel_brainwide_01,ZM_1371,M,2018-12-24,mainenlab,2019-04-24
40,937bd78b-58d6-4987-8ecf-02450afb46f7,ibl_neuropixel_brainwide_01,ZM_1091,M,2018-10-23,mainenlab,2019-02-05
41,034fd43f-ee35-450b-99ef-25475ce25fdc,ibl_neuropixel_brainwide_01,ZM_1092,M,2018-10-23,mainenlab,2019-02-04
42,da62bb12-f2f0-4e90-9d9a-413a8537b33b,ibl_neuropixel_brainwide_01,ZM_1372,F,2018-12-31,mainenlab,2019-05-02
43,f365dcc4-7523-4abd-9021-265f39b7290a,ibl_neuropixel_brainwide_01,ZM_1097,M,2018-10-23,mainenlab,2019-02-08
44,8b79e73e-20f9-4bdc-a78e-341511d893ca,ibl_neuropixel_brainwide_01,ZM_1098,M,2018-10-23,mainenlab,2019-02-07
45,13e59361-a2e8-4e2d-8636-ae0961fd941c,ibl_neuropixel_brainwide_01,ZM_1093,M,2018-10-23,mainenlab,2019-02-05
46,82a45288-a291-43f2-a3ef-6ee77f98abd6,ibl_neuropixel_brainwide_01,ZM_1084,M,2018-10-23,mainenlab,2019-01-30
47,1a8fa9b4-399b-4175-8c32-e552aaa2541b,ibl_neuropixel_brainwide_01,ZM_1373,F,2018-12-31,mainenlab,2019-04-18
48,5df6e2f2-cc8e-486f-a23d-219125e496fa,ibl_neuropixel_brainwide_01,ZM_1085,M,2018-10-23,mainenlab,2019-01-31
49,3899bc0a-d7b5-4914-a76f-a4f4fdd99f98,ibl_neuropixel_brainwide_01,ZM_1089,M,2018-10-23,mainenlab,2019-02-06
50,fb3c491d-233c-4ee0-abfa-5ea0222cd080,ibl_neuropixel_brainwide_01,ZM_1086,M,2018-10-23,mainenlab,2019-01-30
51,6dcef540-d5f2-41d0-9233-55e0da87fe59,ibl_neuropixel_brainwide_01,ZM_1743,F,2019-03-04,mainenlab,2019-06-13
52,3b6b41b6-68bb-4a9a-bfeb-5f8cf97a1c2a,ibl_neuropixel_brainwide_01,ZM_1745,M,2019-02-24,mainenlab,2019-06-14
53,204d40b0-7ea8-49b3-835c-05b47ec8801b,ibl_neuropixel_brainwide_01,ZM_1746,M,2019-02-24,mainenlab,2019-06-03
54,1d785ee9-76b0-42b2-9cd2-3982ccd4bf88,ibl_neuropixel_brainwide_01,ZM_1747,M,2019-02-24,mainenlab,2019-07-09
55,4ba96259-4afe-42fa-89b6-f2f8d361bf44,ibl_neuropixel_brainwide_01,ZM_1095,M,2018-10-23,mainenlab,2019-02-20
56,5f7d4e8d-37d7-48cf-97e5-24121285adb9,ibl_neuropixel_brainwide_01,ZM_1087,M,2018-10-23,mainenlab,2019-01-30
57,088b6898-0a86-435e-b91f-eab829a846f6,ibl_neuropixel_brainwide_01,SWC_005,M,2019-01-19,mrsicflogellab,2019-07-03
58,f7964cba-0846-4796-bcee-0b97d91b1326,ibl_neuropixel_brainwide_01,IBL_001,F,2019-01-09,mrsicflogellab,2019-06-25
59,a9421832-3e50-4ace-9571-437fd2d7ac8e,ibl_neuropixel_brainwide_01,IBL_002,F,2019-01-09,mrsicflogellab,2019-05-22
60,d1c7418a-77c8-43d5-bfe3-2f91e858252d,ibl_neuropixel_brainwide_01,ibl_witten_12,F,2019-03-19,wittenlab,2019-07-16
61,274bb80c-2acc-470a-bfb4-24d38a1b3d06,ibl_neuropixel_brainwide_01,ibl_witten_06,M,2018-11-06,wittenlab,2019-02-21
62,87caaddb-2863-42f7-b7d9-804bfba9c599,ibl_neuropixel_brainwide_01,ibl_witten_05,M,2018-11-06,wittenlab,2019-03-21
63,cb761037-e499-4ba4-a7b3-9be8b8410cbc,ibl_neuropixel_brainwide_01,ibl_witten_16,M,2019-04-23,wittenlab,2019-08-28
64,02120449-9b19-4276-a434-513886c2fb19,ibl_neuropixel_brainwide_01,ibl_witten_07,F,2018-11-13,wittenlab,2019-05-24
